Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1484,5,1,2010,1.246554609668538,1,6,360372.9780385626
1521,2,3,2013,2.5087410061843767,0,5,377511.26849809097
3761,5,3,1973,4.929055246554952,2,8,867445.4184620865
4474,2,2,2022,3.409701997768978,0,2,985699.1860734548
2871,5,1,1974,3.4269136197073893,2,6,636552.7524853058
2459,1,1,1964,3.1047807561601664,0,4,491715.9476636626
955,3,1,2015,3.727042558124871,1,2,267185.2676416052
2944,1,3,1996,4.03615690460768,1,3,660979.0474886918
2693,3,3,1996,4.952442946008342,1,9,648718.3260877142
4996,1,3,2014,4.252063779134723,1,1,1102533.6490590929
4452,1,1,1975,3.431820574980016,0,3,914555.7450033636
4688,5,3,1983,1.91671623208242,2,7,1004456.2194818492
3482,3,2,1999,2.778486392094205,0,8,775422.1168993582
1796,4,2,1984,4.492036927506643,2,7,442278.7666177528
2328,2,1,1968,4.417852466675708,1,9,527715.5373919866
1858,1,2,1989,1.541660431608447,0,8,376032.361536576
3404,3,3,1977,3.529608977095392,0,1,735850.8123421574
2656,3,1,1982,3.1983240580696464,1,7,559262.3223593918
3917,1,1,1988,0.8675027413704332,2,7,780363.0627911759
3646,1,1,1994,3.980987338391993,0,9,794010.0167336396
4789,3,2,1968,1.9289956094127576,2,4,988358.2476373828
4922,4,1,2018,4.23375289844731,2,2,1108236.8362913695
4658,1,3,1987,4.544545503818065,2,6,1021278.340082141
741,2,3,1997,1.763968843338097,1,4,188531.42345710637
3113,5,2,1999,3.7815563431113937,1,2,731331.6610567131
3208,2,3,1951,4.267683532123289,2,2,672640.7862957919
1565,3,3,1959,4.933285497908036,1,3,368640.6584269345
3234,1,3,1969,2.5927486173529,0,7,652166.1423658864
2163,2,1,2019,3.446190839103346,0,7,521205.600976709
1353,5,3,1996,1.9026042283176865,1,1,354054.70019158506
1884,4,1,1957,2.1054592023047265,2,7,414166.584309186
4136,2,3,2017,2.112505955022532,0,3,894174.439544655
4638,4,3,2000,1.4903990459212395,1,3,998439.2371139774
3372,5,1,1986,2.4906493989608847,0,4,733900.7559066785
3856,2,3,2014,1.2438602876208258,2,5,824351.6710960343
4908,2,3,2022,1.8413404273617024,1,9,1058290.680940349
3972,3,2,2018,2.9200232063361944,0,5,878049.2511558104
4400,3,1,2017,4.521175639025592,2,1,987241.429730274
2000,2,2,2004,2.1410180430545145,1,8,448879.5107617519
3945,2,2,1971,4.859035725084607,0,8,846346.3280926006
2935,4,2,2013,0.5601545746672804,1,9,656980.4604282172
1620,4,1,1985,4.74767727564406,2,7,418003.15725851554
3755,2,2,1992,2.596215889504061,0,9,788150.9318106314
505,5,3,1954,3.881538250067046,0,3,159121.4656145035
1714,2,3,2008,3.7837035792384,0,10,431423.2948124018
4201,3,1,1996,2.660213197895385,0,8,876992.62965777
2497,3,1,2000,1.6411285264836613,2,7,555012.7033097085
2430,2,1,1990,0.5616434768401155,2,10,497168.0883454792
1475,2,3,2014,3.790924338664833,1,5,370167.09090271546
3691,1,2,1955,4.696450652086029,0,10,758140.6272517709
3297,1,3,2004,2.544814195159788,1,9,740330.4672038732
2778,1,1,1991,3.4811777612372365,1,10,605371.7047170609
3874,3,2,1990,1.5079214563928651,2,2,820831.6964017673
4196,4,1,1994,2.4638881942831685,2,10,922420.588370604
3308,3,1,1978,4.3384189789876615,0,9,707483.440019593
4518,4,2,1971,1.377540411973771,2,2,926094.1390762049
1563,5,2,1976,0.528158619619116,0,8,336153.4280264353
4082,3,3,1973,0.8610001090507133,2,6,857205.2452653883
2310,5,1,2011,0.7704338467017657,1,3,523323.0670600654
3396,3,3,2007,3.668374720946026,0,10,762080.8235471162
4860,5,2,1977,3.872417026913639,0,6,1060712.8283115798
3046,5,2,1956,3.6611975371481096,0,5,676719.1220590248
3273,3,3,1950,4.336632297222542,0,10,688357.648480334
4841,2,1,1993,2.0916350896133027,0,1,987630.2411262016
2581,1,2,1989,4.016775414839819,1,3,570399.7427677898
3461,5,3,2009,2.5380998162042485,2,8,798362.7750475319
4685,5,2,2017,0.9147558131259454,2,1,1015603.7016174662
2705,1,3,2003,4.100330444345905,2,8,628610.9650581649
3868,1,3,2014,4.26888875334225,0,4,864309.0323581436
4127,5,2,1992,1.0261559098642616,2,1,909713.435000704
4999,5,1,1952,4.662712289043565,2,5,1060976.488572305
1209,5,3,2011,3.865273584854323,2,2,368327.4567183169
3051,1,2,1999,1.4980189018654335,0,6,624411.6024682868
3229,1,1,1960,3.365427726699472,0,7,645145.5398468642
1217,3,3,1996,1.7726050880172488,1,9,314916.5292154408
2187,5,3,1974,2.1943862950518422,0,10,504023.26087166165
3531,4,3,1999,1.796024056658185,2,9,771922.849821314
689,5,1,1996,3.8868723233232623,2,2,227515.3002879812
2481,3,1,1991,0.7039367553240257,0,1,509725.550655089
1036,4,3,1967,1.9321791862357665,1,10,238220.4845448509
4187,5,3,1997,2.619275264476315,2,6,950877.0053637534
2042,2,3,1987,4.075163680340777,0,6,475471.1766686792
4031,4,2,2007,4.279191584915697,0,4,899849.5188200921
1213,1,2,2004,1.29736625455036,2,4,269665.8613983956
2182,2,1,1967,0.5712042739856937,1,2,408013.5790622347
1767,5,3,2009,1.073238872001527,1,1,432357.9061027443
4761,4,3,2000,2.4717952249985986,2,4,1041122.1131331322
2324,4,2,1968,0.622625053778668,2,10,506990.3247570412
2193,4,1,1996,4.731886432853361,0,6,530004.3428420601
700,1,2,2000,2.258398185483367,1,7,199066.37891066872
2468,2,2,2014,0.9842638314193648,1,7,540221.2539417966
1351,3,2,1992,0.7408150831086948,0,10,319748.76677475666
2972,2,1,2018,0.7357608301768754,1,2,629290.1434469345
3919,4,2,2012,1.7409083199857658,2,3,875382.7427446679
3235,3,2,1979,0.8535102391567722,0,2,655719.1459405582
1199,1,1,1953,2.45927140779081,0,2,211038.85316259583
3952,1,2,1988,4.984545453300421,1,9,875163.0460692297
1275,2,2,1979,2.9551333220111653,0,10,296291.0010075069
1138,2,3,2022,1.9595561346277508,2,9,315357.48101832974
3636,3,2,2020,1.482169427121783,2,3,818671.3913349382
3824,1,2,2018,2.0609868936397358,0,6,802714.096172766
3610,1,2,1979,3.434418778467428,1,6,774150.0468123948
4686,1,1,1968,1.7286827869751304,0,4,923773.1293560604
4343,3,3,1955,3.23784021146008,1,1,899382.8651584806
2660,5,3,1987,4.157211289518779,1,5,649973.3618681368
2135,3,3,1996,4.035393965881072,1,5,533039.4327952061
2843,5,1,2019,2.508988648084469,1,2,691113.9194565738
3135,5,2,1988,0.7038258962588485,2,9,663727.5441240586
1865,4,2,1994,4.354220312431581,0,7,478566.0655908441
2827,2,2,2013,4.512698893412357,2,3,640767.2241513439
1372,4,2,2015,2.5003771387257183,1,10,377431.0643911781
654,5,2,1960,1.4327284058045042,2,8,158636.70310577296
2168,2,1,1995,1.202161151029896,2,7,465144.0719417193
3873,4,2,1986,0.5289584517355808,1,9,801313.0610758337
4646,1,2,2016,1.1281949031191003,0,9,965317.5061019752
2408,2,2,1975,1.13498417309608,0,8,476966.9362678016
3160,3,2,1974,1.358266944159026,0,6,645375.2217757016
2547,4,2,1986,3.715885737089259,2,8,586086.5685389101
2636,4,1,2022,3.956024458909444,1,8,645781.7324767867
1775,1,2,1955,4.241154677998865,2,1,406069.2709127523
1108,5,1,1984,1.9048836569792165,2,7,285546.501684919
2081,1,1,1966,3.866723718744585,0,5,424881.192942697
4022,4,2,1953,4.736898096279985,0,7,875981.0268954616
917,4,3,1953,0.5613531075761966,0,6,191907.6525048871
1260,4,2,1965,1.9296261389622296,2,9,278644.6693366641
1782,2,1,1982,3.981481542030496,0,6,400585.46235503367
4483,3,1,1971,1.723039322360581,1,1,921002.248222852
3599,1,1,1981,2.061331968805513,1,8,721018.0639031393
1995,4,1,2000,4.209471013456712,2,3,492018.32279508375
643,5,1,2009,1.9949250692629472,1,7,213397.79303700436
1012,2,2,1983,4.564841064690698,0,9,264395.09178796335
1443,3,1,1991,1.1926377940230726,1,10,320689.2188217977
1581,1,2,1994,2.812328305594691,0,4,358458.3807510001
2354,3,3,2005,3.5808178741923484,1,3,556236.7348047679
2651,5,3,1970,2.715045418320837,1,6,601083.947569366
4033,3,2,1995,3.224665627366754,2,6,889107.6929684004
3677,1,1,2017,4.8301765097412055,1,9,806645.0448680979
2476,1,3,1992,0.7956145242034665,1,6,513292.75970622
633,5,2,1977,1.280043738388764,2,5,176494.35410241215
895,1,3,2021,2.146486143005962,1,6,235478.10213396215
735,5,1,2002,3.443720694287443,1,4,238459.1158908021
2164,2,2,2005,2.3726541543827304,1,10,483350.32816846616
2319,2,2,1998,0.8939689881250128,0,1,501720.6757217424
4014,1,1,2013,1.5574742489061122,0,10,821146.2339055584
1315,3,2,1981,2.757090649630768,0,7,308618.40727220185
4691,1,2,1985,3.010673503178153,2,8,971514.7620428528
3652,1,3,1994,2.81015694601212,1,9,793995.2848757812
2737,2,3,1997,4.197415698327971,0,3,637736.0103999889
3604,1,2,1966,3.3915992464563534,0,3,740286.5597469498
827,2,3,1962,3.4335538950310727,1,6,198773.4757127592
1791,2,1,1984,2.430432193284007,0,5,355281.41848528635
3800,5,2,1995,4.889628627413098,1,1,888184.3038431654
1253,5,1,1974,3.268641439770863,0,3,296184.19659571577
2146,5,2,1998,2.2201351338985624,0,4,510968.1406545
4643,1,3,2019,4.557123523791804,2,3,1021134.6211894122
2125,3,1,1961,3.6865482570528143,1,2,454484.4215050965
1284,5,2,1976,4.219782554761199,1,7,350816.184399563
1216,4,2,1973,3.094125969009893,1,1,299226.76708907617
1577,5,1,1998,1.623974731009339,2,2,370970.3860521568
4670,4,3,1977,2.8093238769055047,0,10,1001847.3602497705
1213,1,3,2017,1.8702163973702788,1,2,305026.7707546245
4797,1,2,1979,2.162668703141211,2,1,986006.861736761
2605,1,2,1991,2.6861784301068417,0,8,557218.6456389157
1228,4,2,1959,3.0040529262145537,2,6,287478.2675046062
2027,5,3,2002,4.467270379450989,0,10,539478.4031506823
4213,3,2,1955,2.059514419174464,1,9,845932.4082879503
3306,4,3,1978,1.7503032344295448,1,8,708003.0797050629
2431,3,3,1987,1.054546590723462,1,5,505877.59815497726
1645,1,1,2002,2.1269362943931736,2,9,368670.1351204142
735,5,2,1973,3.416472655403555,0,9,198659.21988081493
1853,2,3,2020,3.022609140504719,2,8,471816.8853184141
2016,1,1,2021,2.6074858367021605,0,3,450594.5679766036
1062,2,2,1968,1.538575942669393,2,8,250362.35906874528
1346,4,2,2018,1.6672478033443832,1,8,351280.4162027617
1896,5,1,2003,0.97633956145059,1,6,418888.6616954587
2292,1,2,2000,3.1153794067443044,2,1,512734.7788937932
1322,2,3,1981,3.43827346162029,2,5,345655.79485490214
2949,2,1,1997,2.4546267416354794,0,7,641526.9853657566
4812,2,1,1965,1.7282749762916954,1,7,961367.1393329063
2622,1,3,1971,3.4020630738156017,0,4,561747.2624036099
2040,1,2,1952,0.90045371685356,2,1,379109.0941130737
1228,2,1,1953,3.318450582452878,2,2,269736.4362439106
2323,3,3,1991,1.5171493855489344,2,5,511645.2377877411
2387,1,2,1991,1.9246404195889304,2,1,508927.8041870647
3467,5,3,1953,3.891803316926021,1,4,760678.6016673865
1232,4,3,1964,2.028966090344797,2,9,297268.39963389
2985,3,2,2006,4.620525045177424,2,5,717150.4421296231
2863,1,3,1957,3.4149840482765392,0,4,582468.7977365239
1811,4,2,2015,1.8304926767222864,1,8,436325.0761836845
967,3,2,2006,1.0938439383078278,0,5,240302.2199712505
2549,5,3,2015,4.374703847764904,2,3,656223.1627305328
2136,4,3,2021,3.813029971378476,2,3,551859.0856947603
1422,1,1,1958,4.837204223953131,1,1,313266.83650286886
1325,3,1,1957,3.5151464201340503,1,5,289985.41455097107
2827,3,1,1977,3.213677997739775,2,4,605143.9591154716
2257,5,1,1968,3.1310064057462115,0,2,501305.5489940659
755,4,1,2017,2.4059656219635333,2,2,239234.57432207957
4995,3,2,2007,3.6800399015496494,0,2,1092026.89678641
3353,4,2,1976,1.9571880870609413,0,2,701368.1143168806
1806,1,2,2001,2.576853174148731,0,2,420203.4615575062
2341,3,2,2000,1.2655193778917666,2,10,517655.1581174146
1401,1,1,2012,2.9874306561511244,0,4,321278.1795200379
4824,1,1,1961,0.7784856575621386,0,1,924012.9418488424
3268,4,2,1983,3.1087902476038645,2,2,742599.2533323644
3976,5,1,1955,3.90350421312299,0,3,827432.4143465807
3314,5,1,2011,4.301880473703347,1,7,779336.1178319983
4209,4,2,1966,4.392331723018408,0,4,896600.4885198027
1863,4,2,1995,2.5840162122688017,2,4,450941.1354372639
1981,4,3,1984,3.9537447376581754,2,10,489595.4124613424
630,3,3,1997,1.0142859649909075,1,8,173875.03721558454
1480,1,1,1980,1.877231585852546,1,7,304174.6641013576
724,2,2,1982,3.319056588546172,0,5,194628.72736203528
2357,1,3,1997,0.5827376396821877,1,3,503962.1877251642
4631,3,1,2005,4.940280956753819,1,9,1015556.1485920788
4500,4,1,1996,1.8227709545760389,0,1,940080.4444014952
4318,4,1,1976,1.203276692973993,2,8,897666.0008462978
3559,2,1,2003,3.2173294214312507,2,8,758946.7724048437
3932,3,2,1970,4.94975989125124,2,5,865263.3836358162
2327,4,3,2005,4.609547061896554,0,1,585574.1096146859
2417,4,1,2003,3.9158911965003727,2,8,580272.8715936985
1691,4,3,2011,1.751581199689756,2,2,427302.04370052734
3702,5,1,1984,2.892098285487469,0,10,809686.201143527
3572,4,3,1958,0.6911145916543993,1,3,729385.5524036873
888,1,3,1972,3.2865756442411174,0,3,215993.8951157028
1869,5,1,2020,4.722861847361648,1,1,510876.9990932239
4664,5,3,1979,3.003476032656857,2,3,1010183.5001098072
3675,3,1,1983,2.1451806545178504,2,4,779019.7305378267
1198,1,3,2002,4.673098312638337,2,1,334276.21781208954
2579,2,3,2010,2.70066098888429,1,5,603812.5887922472
2431,1,3,2009,1.544250828655202,0,10,538851.8933945443
1314,5,1,1972,3.998549602320735,2,5,341956.2674322983
3419,3,2,1962,4.407848545736219,2,5,752101.9024207598
4443,4,3,1976,4.741456728546074,1,1,981190.782911222
3766,5,1,1980,2.208275440032516,0,5,787281.7359378719
1576,3,2,1978,0.9291722102287638,1,8,340980.72481778456
3038,5,1,1967,2.854458747368937,0,3,647006.812552705
3438,3,1,1980,3.3669261537099917,2,8,738091.5512277477
3332,5,1,1990,3.1317738425999693,1,6,755402.3726912518
4889,4,2,1991,4.825217370695743,2,8,1064004.872579212
3283,3,2,2016,4.741966296349837,1,1,764387.1612255372
2125,2,1,2012,4.524193032153863,1,2,514184.1816653132
3787,1,1,1952,2.482580876055383,1,6,745395.8553692064
753,4,1,2015,4.146163640147891,1,6,252963.3562076132
3459,5,3,1959,3.09476303208373,2,7,759151.2379465501
3736,1,1,1955,4.962632330176033,0,7,758293.3788835382
3247,1,2,2005,4.467035547233406,1,10,740174.0146550778
3332,5,2,1962,1.751447817798604,2,2,704212.5239765074
3554,2,2,1994,0.8001224663245199,1,9,734201.4615779822
2982,1,3,1956,3.5660885595860696,0,4,626454.2784147046
4925,2,3,1959,4.896642544453292,2,7,1034380.2041616676
2836,4,3,1981,0.5060582193045366,0,6,605369.8615424815
1865,2,1,1960,1.393209835724071,0,7,366797.3447576696
646,1,1,1956,2.3105072985679973,2,4,146406.89625235138
4390,1,1,1960,4.19269440954464,2,5,912468.0479046734
919,2,3,1985,1.1078606580159231,2,6,217213.6452196605
3244,1,1,2003,4.346165525419389,1,10,726227.5690417645
3722,1,2,1975,3.4402257431540626,1,7,781388.9356850483
2182,3,3,1953,2.130940951771231,2,5,470978.4795328964
2105,3,1,2021,0.5435909723343548,1,10,472291.952524426
1024,5,2,1998,3.995614994629496,2,1,323701.2441901499
4800,1,1,1974,4.582620249603826,2,1,1018026.9936582922
2475,5,2,2011,4.235679423490632,0,3,594005.0065233838
3056,2,3,2018,4.315675476935068,2,3,735678.4622017285
3530,4,1,2003,1.074985937554957,1,6,754662.1768906609
4699,2,2,2010,2.9960946940103885,2,2,1008240.7854354944
3286,5,3,1958,1.4697534149039797,2,9,681361.2493428746
1800,2,2,2004,3.375644715117144,2,10,443408.3059778237
4010,1,3,1980,3.534164789029246,1,8,854876.2983739193
2310,3,1,1988,1.3696223685537567,1,4,494537.5115454976
3647,4,1,1993,4.695452412029949,2,5,827205.303959231
2257,3,1,2002,1.6375929980709785,2,10,496427.1035646905
2616,3,2,1992,1.068738900825502,0,4,542247.1622628621
2399,4,1,1978,1.4154641381124105,1,10,513161.95119306416
3419,2,3,1999,4.130409037051067,1,10,772740.0707275409
1647,2,2,1979,0.5771740186183916,0,9,316130.2555576059
3557,2,2,1985,1.655345733393911,0,4,730405.6620242158
3423,3,1,1960,4.5714485375605305,0,2,731262.2024937344
3766,3,2,1981,1.7856481732014404,2,1,799178.3100544005
3569,3,3,1965,2.6405951810493145,2,8,769087.1879559917
4127,1,2,1990,4.216629682922137,1,4,886568.3132277146
3814,4,1,1996,2.439890881804802,1,2,834587.5117736553
4727,2,2,1955,2.7818709082712,2,4,976049.1314638924
3586,2,2,1964,2.568428688468076,0,10,724033.5604571347
3656,2,2,2022,4.521358640057602,1,9,856066.3005338378
3201,1,1,1978,3.277484626450553,0,5,662119.9410580613
1074,2,3,1986,2.7453700261119467,0,6,251724.67925135957
1037,2,2,1964,4.889179747158894,2,10,255907.13436003952
2234,2,2,1985,3.37245007906322,2,10,507847.5873391124
4487,3,2,1976,4.79090794033179,1,7,971977.0246414564
3401,5,1,2013,1.0149418337556135,2,2,756373.8420634224
1887,2,1,2014,1.8825753283147424,0,2,439793.0780082437
1275,5,3,2006,2.191122571307388,1,4,354189.0054772034
3719,4,2,2016,2.25767123411802,1,10,828512.1019589091
3435,4,2,1965,4.100928564576106,0,8,729494.9061684583
4351,5,2,1971,3.630310935593261,2,1,944921.9815744858
598,4,2,1983,0.6905402544757273,0,7,155471.16626013073
2650,2,1,2006,3.62000819180618,0,7,596659.3685492761
1667,1,2,1954,1.3653945321513237,1,8,302975.3037628076
2719,4,3,1966,2.9633667817087663,2,9,623326.5868033242
1818,2,1,2008,3.4941434378850698,1,9,441001.3484190839
2979,4,2,1993,2.1702628220878912,0,8,646766.2897519646
4340,5,3,1962,1.881070309375565,0,10,903251.9405609448
2406,5,2,1988,0.930780746349788,1,1,533178.2402465394
4991,1,2,1982,4.249419604685034,2,6,1037268.0434280155
1270,1,3,1953,2.3934254079466664,2,10,264215.33977452776
4521,5,3,2008,4.5621747970041024,2,2,1039730.2135109294
3990,1,1,2020,2.051679234857764,0,8,851283.9163168798
3097,5,1,1959,4.503094782487215,2,5,697909.6503581115
3551,2,2,1970,2.962568841892894,0,3,740281.2153448497
2455,5,2,1975,1.325535805176032,1,7,531945.983279591
4030,4,1,2004,0.97516195689488,0,1,844959.8412339088
2538,4,3,1998,4.892147143700917,0,10,611557.8808542505
1471,5,1,1982,1.2019138866451993,0,3,341253.2207795087
4500,3,2,1954,4.539846049293764,0,6,936969.4548360409
1002,4,2,2000,3.7074995429757394,2,4,307101.6858385633
577,5,3,1971,2.0831225288465864,1,10,185557.6964804336
1970,4,2,1952,4.413227371136498,2,8,453359.87163545546
4864,2,2,1997,1.0686041659152976,2,2,988325.4879158876
3957,3,3,2022,2.813904680042026,0,5,885550.3826256534
637,1,2,1990,2.8924746069401737,2,8,190828.13988469375
3245,5,2,1950,1.5182386286746992,2,10,695195.3585354679
3097,1,2,1989,4.289070476780348,2,7,685644.2336178538
4542,3,1,1996,3.6955164485177567,0,1,978835.1052830342
3431,3,2,1970,4.321305524757669,2,7,762159.3914733424
4493,3,3,2008,0.9665536133042444,0,4,951093.5469938468
3058,2,1,2017,1.498552073529678,0,2,672852.0519810001
2179,1,2,1977,1.757371478792324,0,1,443005.62363881344
4777,3,3,1979,3.1936779833210185,2,7,1009807.4390560028
3279,4,2,1990,1.503779276942406,2,6,695362.741532193
3986,3,1,2008,0.5226194867441141,2,5,827741.1738157432
1743,2,1,1962,2.708442530205622,0,5,344363.2736819858
3827,3,2,2006,2.372981264804072,0,1,827143.776401641
4929,3,3,1971,4.057342296222531,2,5,1062899.029267778
2562,1,3,1971,2.417319399317437,2,6,538349.0962151848
4172,5,3,1956,2.7956677120534548,1,10,894611.0786564201
1399,2,2,2003,1.6805433505142555,0,3,310271.2636685363
4708,1,3,1962,1.792970224290059,1,8,949404.2006657254
3316,3,1,1984,0.6135680563171889,2,4,676108.8512096877
1960,4,1,1972,0.6616858198368785,1,3,407600.3914029592
2139,1,1,1999,0.6110787075106308,0,10,422950.9047116141
1717,1,2,1962,4.322903969695556,0,7,383644.1777444591
3349,4,3,1986,2.0186614655370416,1,5,738935.8194460399
4564,2,2,1990,4.084288338756688,1,4,991703.3944221088
4481,2,2,2003,3.9810744577882415,2,7,996696.835850388
999,2,3,1977,1.241981494543123,0,6,226125.4126756759
1004,4,1,1988,2.480261209292294,2,5,269874.7159038473
1750,5,2,1976,2.255541056097526,0,1,409947.2216361178
627,2,1,1967,2.637279343686867,0,2,126097.92716348889
2338,2,3,2018,4.071067945424607,1,6,560304.6612210645
1418,2,3,1996,3.287045543616101,0,8,353161.46132211224
1748,4,1,2002,0.947959307639488,2,7,394408.5769492088
835,5,3,2003,3.8825427741031366,2,2,294548.40256048914
4177,4,3,1952,2.017899293680524,1,5,870212.7996762642
1074,4,2,1982,2.487859212369682,1,9,269061.7820440072
4782,3,3,2006,4.62471485739085,1,10,1067425.216621323
4230,3,1,1951,3.079504375023161,1,9,874856.2710820399
4933,3,1,2015,4.7693497781737,2,7,1096158.2899088082
3398,1,3,1983,1.2607780029787232,2,8,706686.3209428937
4706,2,2,1998,3.606825748599824,1,7,1000021.7606809204
3239,1,1,1955,2.0103047284006026,1,2,638451.4027889116
1145,1,3,2008,0.919382538032126,1,3,275063.0991470561
2484,3,2,2006,1.9031096163009589,1,1,562238.4809757017
1641,3,2,1996,0.9046231018686604,1,3,364016.40122898977
2955,5,2,1962,4.542071287789558,2,4,684425.2003263966
3456,2,1,2014,4.052715342908236,1,9,763645.6101593996
3683,4,3,1989,2.362223593943581,0,5,801206.2036701888
1581,3,3,1992,1.6225619193195453,0,2,342679.45001245977
1569,5,2,1969,1.0634925178257415,1,4,362679.08775021497
3112,2,3,1980,2.6566704046154186,0,9,666733.4734616925
2292,1,3,1950,4.895574677724138,2,6,483905.9983899615
4061,1,1,1952,2.239790776852254,0,6,787420.4040749857
2548,5,3,1950,1.322025729078507,2,7,547523.9110807307
4620,5,1,2017,0.914444393898154,1,5,985628.9692003924
2555,4,3,1988,3.0173244157731065,2,5,602549.2781823011
3690,3,1,1996,4.888309891889787,0,9,814843.6877321303
4993,1,2,1957,4.595958656904905,1,6,1038319.1650899692
1240,1,2,1951,3.5916761776211623,0,8,262398.4460460842
2714,3,1,1967,3.413824091795134,1,4,574450.4841823126
4642,4,1,1966,0.7023264871619801,1,10,915441.1797542056
2490,5,1,1950,4.16874348990752,1,10,567376.4006946473
